case_id,case_arrival,burn_in_period,case_arrival_dt,case_assigned,resource,case_topic,initial_delay,est_NPS_priority,est_NPS,est_throughput_time,event_no,activity,activity_start,activity_end,activity_start_dt,activity_end_dt,activity_start_delay,activity_end_delay,duration,duration_delayed,case_status,F_priority_scheme,F_number_of_agents,seed,simulated_NPS,simulated_NPS_priority,simulated_throughput_time
4,1.5728625521467208,False,07/02/2018 13:44:55,1.5729166666666707,4,3,5.411451994996597e-05,0.9779014847600003,8.47790148476,1.7522932872119432,3,Email,3.3333399999999997,3.666479460177155,01/04/2018 08:00:00,01/04/2018 15:59:43,0.5709772233127179,0,0.3331394601771552,0.5709772233127179,closed,NPS,7,42,6,1.4994934760814562,2.4192261205177017
4,1.5728625521467208,False,07/02/2018 13:44:55,1.5729166666666707,4,3,5.411451994996597e-05,0.9779014847600003,8.47790148476,1.7522932872119432,1,Interaction,1.5729166666666707,1.9984074885641419,01/02/2018 13:45:00,01/02/2018 23:57:42,0.0,0,0.42549082189747117,0.0,closed,NPS,7,42,6,1.4994934760814562,2.4192261205177017
4,1.5728625521467208,False,07/02/2018 13:44:55,1.5729166666666707,4,3,5.411451994996597e-05,0.9779014847600003,8.47790148476,1.7522932872119432,2,Interaction,2.33334,2.762362776687282,01/03/2018 08:00:00,01/03/2018 18:17:48,0.33493251143585817,0,0.42902277668728195,0.33493251143585817,closed,NPS,7,42,6,1.4994934760814562,2.4192261205177017
5,1.8340716174992737,False,07/02/2018 20:01:03,1.843750000000006,5,4,0.49926838250072647,0.9346639521700002,8.43466395217,2.764446497987486,1,Email,2.33334,2.690343302135685,01/03/2018 08:00:00,01/03/2018 16:34:05,0.48958999999999403,0,0.35700330213568476,0.48958999999999403,closed,NPS,7,42,5,2.8813318642949524,1.83700067810756
5,1.8340716174992737,False,07/02/2018 20:01:03,1.843750000000006,5,4,0.49926838250072647,0.9346639521700002,8.43466395217,2.764446497987486,2,Email,2.690343302135685,3.1133325368776243,01/03/2018 16:34:05,01/04/2018 02:43:11,0.0,0,0.4229892347419394,0.0,closed,NPS,7,42,5,2.8813318642949524,1.83700067810756
5,1.8340716174992737,False,07/02/2018 20:01:03,1.843750000000006,5,4,0.49926838250072647,0.9346639521700002,8.43466395217,2.764446497987486,3,END,3.33334,3.671072295606834,01/04/2018 08:00:00,01/04/2018 16:06:20,0.22000746312237568,0,0.33773229560683365,0.22000746312237568,closed,NPS,7,42,5,2.8813318642949524,1.83700067810756
6,2.272849267730801,False,07/03/2018 06:32:54,2.281249999999996,6,1,0.06049073226919921,1.0211712721299993,8.52117127213,1.110251225398227,6,END,4.718794515655365,5.095619548312042,01/05/2018 17:15:03,01/06/2018 02:17:41,0.0,0,0.3768250326566778,0.0,closed,NPS,7,42,5,2.809809178811511,2.822770280581241
6,2.272849267730801,False,07/03/2018 06:32:54,2.281249999999996,6,1,0.06049073226919921,1.0211712721299993,8.52117127213,1.110251225398227,1,Interaction,2.33334,2.664499012655326,01/03/2018 08:00:00,01/03/2018 15:56:52,0.05209000000000402,0,0.3311590126553258,0.05209000000000402,closed,NPS,7,42,5,2.809809178811511,2.822770280581241
6,2.272849267730801,False,07/03/2018 06:32:54,2.281249999999996,6,1,0.06049073226919921,1.0211712721299993,8.52117127213,1.110251225398227,2,Interaction,2.664499012655326,3.0513790677242345,01/03/2018 15:56:52,01/04/2018 01:13:59,0.0,0,0.38688005506890866,0.0,closed,NPS,7,42,5,2.809809178811511,2.822770280581241
6,2.272849267730801,False,07/03/2018 06:32:54,2.281249999999996,6,1,0.06049073226919921,1.0211712721299993,8.52117127213,1.110251225398227,3,Email,3.33334,3.743174094316749,01/04/2018 08:00:00,01/04/2018 17:50:10,0.2819609322757655,0,0.40983409431674855,0.2819609322757655,closed,NPS,7,42,5,2.809809178811511,2.822770280581241
6,2.272849267730801,False,07/03/2018 06:32:54,2.281249999999996,6,1,0.06049073226919921,1.0211712721299993,8.52117127213,1.110251225398227,4,Email,3.743174094316749,4.105790829207255,01/04/2018 17:50:10,01/05/2018 02:32:20,0.0,0,0.36261673489050605,0.0,closed,NPS,7,42,5,2.809809178811511,2.822770280581241
